store,sku,pn,url,price,seller
Walmart,39405638,DT.SRQAA.051,http://www.walmart.com/ip/Acer-Black-Aspire-TC-ATC-605-UW2T-Desktop-PC-with-Intel-Core-i3-4160-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-7-Home-Premium-Monitor-Not-Inc/39405638,449.00,Walmart.com
Walmart,39405639,DT.SRQAA.052,http://www.walmart.com/ip/Acer-Black-Aspire-TC-ATC-605-UW2U-Desktop-PC-with-Intel-Core-i5-4460-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-7-Home-Premium-Monitor-Not-Inc/39405639,449.99,Walmart.com
Walmart,36998826,DT.SUVAA.003,http://www.walmart.com/ip/Acer-Black-Aspire-XC-AXC-603G-UW13-Desktop-PC-with-Intel-Celeron-J1900-Quad-Core-Processor-4GB-Memory-500GB-Hard-Drive-and-Windows-8.1-Monitor-Not/36998826,248.00,Walmart.com
Walmart,38435761,DT.SPXAA.015,http://www.walmart.com/ip/Acer-Black-Aspire-Predator-G3-605-Desktop-PC-with-Intel-Core-i7-4770-Quad-Core-Processor-12GB-Memory-2TB-Hard-Drive-and-Windows-8-Monitor-Not-Inclu/38435761,1129.42,Not Listed
Walmart,33125909,DT.VFUAA.009,http://www.walmart.com/ip/Acer-Veriton-L4620G-Desktop-PC-with-Intel-Pentium-G2130-Processor-4GB-Memory-500GB-Hard-Drive-and-Windows-8-Professional-Monitor-Not-Included/33125909,463.66,Walmart.com
Walmart,32107068,DT.VHHAA.004,http://www.walmart.com/ip/Acer-Black-Veriton-M-Series-VM4630G-i5443x-Desktop-PC-with-Intel-Core-i5-4430-Processor-4GB-Memory-500GB-Hard-Drive-and-Windows-7-Professional-Moni/32107068,642.24,Not Listed
Walmart,34307116,DT.VJTAA.002,http://www.walmart.com/ip/Acer-Black-Veriton-2-VM2630G-i3413X-Desktop-PC-with-Intel-Core-i3-4130-Processor-4GB-Memory-500GB-Hard-Drive-and-Windows-8-Pro-Monitor-Not-Included/34307116,502.28,Walmart.com
Walmart,32107072,DT.VH6AA.001,http://www.walmart.com/ip/Acer-Black-Veriton-N-Series-VN4620G-i3322X-Desktop-PC-with-Intel-Core-i3-3227U-Processor-4GB-Memory-120GB-Solid-State-Drive-and-Windows-7-Profession/32107072,572.39,Walmart.com
Walmart,39643391,DT.VJJAA.004,http://www.walmart.com/ip/Acer-X2630G-I34150X-I3-3.5-4GB-500G-W8.1P-W7P/39643391,505.76,Walmart.com
Walmart,34299476,VX6630G-i54570X,http://www.walmart.com/ip/Acer-Veriton-VX6630G-i54570X-Desktop-PC-with-Intel-Core-i5-4570-Processor-8GB-Memory-500GB-Hard-Drive-and-Windows-8-Professional-Monitor-Not-Includ/34299476,698.46,Walmart.com
Walmart,31963918,DQ.VGBAA.001,http://www.walmart.com/ip/Acer-Black-Veriton-Z4630G-All-in-One-Desktop-PC-with-Intel-Core-i5-3330S-Processor-4GB-Memory-23-Monitor-500GB-Hard-Drive-and-Windows-7-Profession/31963918,691.90,Walmart.com
Walmart,40706579,DT.VGJAA.002,http://www.walmart.com/ip/Acer-Veriton-X4620G-Desktop-Computer-Intel-Core-i3-3240-3.40GHz/40706579,480.44,Walmart.com
Walmart,43389899,A51R2-6472SLV,http://www.walmart.com/ip/Dell-Epic-Silver-Alienware-Area-51-Desktop-PC-with-Intel-Core-i7-5820K-Processor-16GB-Memory-128GB-SSD-and-Windows-8.1-Monitor-Not-Included/43389899,3099.99,Walmart.com
Walmart,40549458,AX51R2-18599BK,http://www.walmart.com/ip/Dell-Alienware-X51-Intel-Core-i7-4790-4GHz-16GB-RAM-256GB-SSD/40549458,1809.22,Walmart.com
