store,sku,pn,url,price,stock,seller
Walmart,39405638,DT.SRQAA.051,http://www.walmart.com/ip/Acer-Black-Aspire-TC-ATC-605-UW2T-Desktop-PC-with-Intel-Core-i3-4160-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-7-Home-Premium-Monitor-Not-Inc/39405638,449.00,OutOfStock,Walmart.com
Walmart,39405639,DT.SRQAA.052,http://www.walmart.com/ip/Acer-Black-Aspire-TC-ATC-605-UW2U-Desktop-PC-with-Intel-Core-i5-4460-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-7-Home-Premium-Monitor-Not-Inc/39405639,549.99,OutOfStock,Walmart.com
Walmart,36998826,DT.SUVAA.003,http://www.walmart.com/ip/Acer-Black-Aspire-XC-AXC-603G-UW13-Desktop-PC-with-Intel-Celeron-J1900-Quad-Core-Processor-4GB-Memory-500GB-Hard-Drive-and-Windows-8.1-Monitor-Not/36998826,248.00,OutOfStock,Walmart.com
