Store,SKU,PN,URL,Price,stock,reseller
Walmart,37421263,GXi650,http://www.walmart.com/ip/CyberPowerPC-Black-Gamer-Xtreme-GXi650-Desktop-PC-with-Intel-Core-i3-4150-Dual-Core-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-8.1-Monitor-Not/37421263,,,
Walmart,37421266,GXi680,http://www.walmart.com/ip/CyberPowerPC-Black-Gamer-Xtreme-GXi680-Desktop-PC-with-Intel-Core-i5-4590-Quad-Core-Processor-8GB-Memory-2TB-Hard-Drive-and-Windows-8.1-Monitor-Not/37421266,,,
Walmart,34643914,ZMA2000W,http://www.walmart.com/ip/CYBERPOWERPC-Zeus-Mini-ZMA2000W-Desktop-PC-with-AMD-A6-6400K-Dual-Core-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-8.1-Monitor-Not-Included/34643914,,,
Walmart,40100010,i3043-3750BLK,http://www.walmart.com/ip/Dell-Black-Inspiron-3043-All-in-One-Desktop-PC-with-Intel-Celeron-N2830-Processor-4GB-Memory-19.5-Touchscreen-500GB-Hard-Drive-and-Windows-8.1/40100010,,,
Walmart,36883725,I3048-8001BLK,http://www.walmart.com/ip/Dell-Inspiron-Black-3048-All-In-One-Desktop-PC-with-Intel-Core-i3-4130T-Processor-8GB-Memory-20-Touchscreen-Monitor-1TB-Hard-Drive-and-Windows-8.1/36883725,,,
Walmart,36976913,I3647-2309BK,http://www.walmart.com/ip/Dell-Inspiron-3000-Desktop-PC-with-Intel-Core-i3-4150-Processor-4GB-Memory-1TB-Hard-Drive-and-Windows-8.1-Monitor-Not-Included/36976913,,,
Walmart,43392253,I3847-3851BK,http://www.walmart.com/ip/Dell-Inspiron3000-i3-4160-8GB-1TB/43392253,,,
Walmart,43825437,i3847-4925BK,http://www.walmart.com/ip/Dell-Black-Inspiron-3000-Series-Desktop-PC-with-Intel-Core-i3-4160-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-7-Professional-Monitor-Not-Inclu/43825437,,,
Walmart,36883803,I3847-5078BK,http://www.walmart.com/ip/Dell-Black-Inspiron-3847-Desktop-PC-with-Intel-Core-i5-4460-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-7-Home-Premium-Monitor-Not-Included/36883803,,,
Walmart,40099995,i3847-5847BK,http://www.walmart.com/ip/Dell-Black-Inspiron-3000-3847-Desktop-PC-with-Intel-Core-i5-4460-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-7-Professional-Monitor-Not-Inclu/40099995,,,
Walmart,40100004,I3847-6159BK,http://www.walmart.com/ip/Dell-Black-Inspiron-3000-3847-Desktop-PC-with-Intel-Core-i5-4460-Processor-16GB-Memory-1TB-Hard-Drive-and-Windows-8.1-Monitor-Not-Included/40100004,,,
Walmart,36976911,I3847-6927BK,http://www.walmart.com/ip/Dell-Inspiron-3847-Desktop-PC-with-Intel-Core-i5-4460-Processor-8GB-Memory-24-Monitor-1TB-Hard-Drive-and-Windows-8.1/36976911,,,
Walmart,37550609,i5348-2000BLK,http://www.walmart.com/ip/Dell-Inspiron-5348-i5348-2000BLK-All-in-One-Desktop-PC-with-Intel-Pentium-G3220-Processor-4GB-Memory-23-Display-1TB-Hard-Drive-and-Windows-8.1/37550609,,,
Walmart,36883728,I5348-4444BLK,http://www.walmart.com/ip/Dell-Black-Inspiron-5348-All-In-One-Desktop-PC-with-Intel-Core-i3-4130-Processor-8GB-Memory-23-Full-HD-Touch-Display-1TB-Hard-Drive-and-Windows-8/36883728,,,
Walmart,36883729,I5348-8889BLK,http://www.walmart.com/ip/Dell-Black-Inspiron-5348-All-In-One-Desktop-PC-with-Intel-Core-i7-4770S-Processor-12GB-Memory-23-Full-HD-Touch-Display-1TB-Hard-Drive-and-Windows/36883729,,,
Walmart,40099997,X8700-1125BLK,http://www.walmart.com/ip/Dell-Black-XPS-8700-Desktop-PC-with-Intel-Core-i5-4460-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-7-Professional-Monitor-Not-Included/40099997,,,
Walmart,36883724,X8700-1261BLK,http://www.walmart.com/ip/Dell-Black-XPS-8700-Desktop-PC-with-Intel-Core-i7-4790-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-7-Home-Premium-Monitor-Not-Included/36883724,,,
